code,name,type,hex,equivalents,confidence
AK11892,IJN J3 SP (Amber Grey),AIR,#8a836c,Vallejo:71311; Real Colors:303; AK Old Reference:AK2062,
AK11893,IJN D1 Deep Green Black,AIR,#272f28,Tamiya:XF11; Vallejo:71325; Mr. Color:C15; Gunze Sangyo:H59; Real Colors:304; AK Old Reference:AK2063,
AK11894,IJN D2 Green Black,AIR,#24302b,Vallejo:71322; Real Colors:305; AK Old Reference:AK2064,
AK11895,IJN Q1 Anti-Glare Blue-Black,AIR,#1a2021,Gunze / Mr. Color:C125; AK Old Reference:AK2066,
AK11896,IJN M3 (M) Mitsubishi Interior Green],AIR,#5d5731,Gunze / Mr. Color:C126; Real Colors:306; AK Old Reference:AK2067,
AK11897,IJN M3 (N) Nakajima Interior Green,AIR,#474028,Gunze / Mr. Color:C127; Real Colors:307; AK Old Reference:AK2068,
AK11898,IJNJJA Aotake,AIR,#1a5366,Vallejo:71419; Mr. Color:C057; Gunze / Mr. Color:H063,
AK11899,IJA #1 Hairyokushoku (Grey-Green),AIR,#9e9d8d,Tamiya:XF12; Vallejo:71326; Mr. Color:C56; Gunze Sangyo:H62; Real Colors:328; AK Old Reference:AK2261,
AK11900,IJA #3 Hairanshoku (Grey Indigo),AIR,#435251,Humbrol:77; Real Colors:329; AK Old Reference:AK2262,
AK11901,IJA #7 Ohryuko Nana Go Shoku,AIR,#474028,Vallejo:71286; Real Colors:330; AK Old Reference:AK2263,
AK11902,IJA #21 Midori iro (Green),AIR,#2d3a2a,Real Colors:331; AK Old Reference:AK2264,
AK11903,IJA #27 Ao Midori iro (Blue-Green),AIR,#142f28,Real Colors:332; AK Old Reference:AK2265,
AK11904,IJA #29 Ki Midori iro (Yellow-Green),AIR,#6d642a,Real Colors:333; AK Old Reference:AK2266,
AK11905,IJA #30 Karekusa iro (Dry Grass),AIR,#7a6d4f,Real Colors:334; AK Old Reference:AK2267,
AK11906,IJA #31 Cha Kasshoku (Tea Colour),AIR,#5c493f,Real Colors:335; AK Old Reference:AK2268,
AK11907,Grey-Blue 1920s-1930s,AIR,#95a99d,,
AK11908,AE-9/AII Light Grey,AIR,#cecfc7,Vallejo:71414; Federal Standard:FS25630; Hataka:127; Real Colors:308; AK Old Reference:AK2251,
AK11909,AII Green,AIR,#2d361e,Vallejo:71410; Hataka:128; Real Colors:309; AK Old Reference:AK2252,
AK11910,AII Light Blue,AIR,#7598a3,Vallejo:71317; Hataka:129; Real Colors:310; AK Old Reference:AK2253,
AK11911,A-14 Interior Steel Grey,AIR,#5b676a,Vallejo:71336; Real Colors:319; AK Old Reference:AK2241,
AK11912,A-18f Light Grey-Blue,AIR,#7d9990,Vallejo:71413; Real Colors:311; AK Old Reference:AK2254,
AK11913,A-19f Grass Green,AIR,#4c5838,Vallejo:71411; Real Colors:312; AK Old Reference:AK2255,
AK11914,A-Z1m Light Yellowish Brown,AIR,#847b5a,Humbrol:72; Vallejo:71415; Lifecolor:UA039; Hataka:74; Real Colors:314; AK Old Reference:AK2248,
AK11915,AMT-4 (A-24m) Green,AIR,#3c4724,Vallejo:71301; Hataka:73; Real Colors:315; AK Old Reference:AK2242,
AK11916,AMT-7 Light Blue,AIR,#5f8498,Vallejo:71318; Hataka:72; Real Colors:316; AK Old Reference:AK2244,
AK11917,AMT-11 Blue-Grey,AIR,#404f56,Vallejo:71304; Hataka:71; Real Colors:317; AK Old Reference:AK2245,
AK11918,AMT-12 Dark Grey,AIR,#272f31,Vallejo:71308; Hataka:70; Real Colors:318; AK Old Reference:AK2246,
AK11919,Radome & Wheel Hub Green,AIR,#2f572d,Mr. Color:C66; Gunze Sangyo:H26; AK Old Reference:AK2302,
AK11920,Mig-25/Mig-31 Grey,AIR,#b6b7b2,Real Colors:336,
AK11301,WWI British Khaki Brown Base,AFV,#48392a,AK Old Reference:AK4042,
AK11302,WWI French Milky Coffee,AFV,#8f724a,Vallejo:71027; Lifecolor:UA097; Federal Standard:23448; AK Old Reference:AK4051,
AK11303,WWI French Artillery Grey,AFV,#4a5360,Vallejo:71257; Federal Standard:36176; AK Old Reference:AK4052,
AK11304,WWI French Brown,AFV,#422619,Federal Standard:31090; AK Old Reference:AK4053,
AK11305,WWI French Green 1,AFV,#313728,Vallejo:71006; Federal Standard:34097; AK Old Reference:AK4054,
AK11306,WWI French Green 2,AFV,#26241a,AK Old Reference:AK4055,
AK11307,RAL 7009 Hellgrau,AFV,#716132,RAL:7009; Hataka:233; Real Colors:54,
AK11308,RAL 6007 Grin,AFV,#3e5530,Vallejo:71019; RAL:6007; Hataka:298; Real Colors:49,
AK11309,RAL 6003 Olivgriin opt: 1,AFV,#474924,Vallejo:71092; Gunze / Mr. Color:H405; Lifecolor:UA206; RAL:6003; Hataka:169; Real Colors:47,
AK11310,RAL 6003 Olivgriin opt.2,AFV,#34301b,AK Old Reference:AK755,
AK11311,RAL 6011 Resedagrin,AFV,#59613a,RAL:6011; AK Old Reference:AK715,
AK11312,RAL 6011B Resedagriin,AFV,#525832,AK Old Reference:AK716,
AK11313,RAL 7008 Graugriin,AFV,#776535,Vallejo:71116; Lifecolor:UA212; RAL:7008; Hataka:304; Real Colors:53,
AK11314,RAL 7008 Graugriin Opt.2,AFV,#646937,,
AK11315,RAL 7017 Dunkelbraun,AFV,#453529,Vallejo:71248; Lifecolor:UA210; RAL:7017; Real Colors:56,
AK11316,RAL 7021 Dunkelgrau,AFV,#1c1e1d,Vallejo:71056; Lifecolor:UA207; RAL:7021; Federal Standard:34086; Hataka:164; Real Colors:57,
AK11317,RAL 7027 Grau,AFV,#665a42,Vallejo:71118; Lifecolor:UA202; RAL:7027; Hataka:306; Real Colors:58,
AK11318,RAL 7028 Dunkelgelb (Initial),AFV,#8f7d4e,Vallejo:71025; Gunze / Mr. Color:H403; Lifecolor:UA204; RAL:7028; Federal Standard:33434; Hataka:244; Real Colors:60,
AK11319,Dunkelgelb Ausgabe 1944,AFV,#ad9770,RAL:7028; Hataka:250; Real Colors:61,
AK11320,RAL 7028 Dunkelgelb (Variant),AFV,#ab8f55,RAL:7028,
AK11323,RAL 6040 F9 Helloliv,AFV,#5c4d2e,Vallejo:71247; RAL:6040F9; Hataka:281; Real Colors:90,
AK11325,RAL 1039 F9 Sandbeige,AFV,#b2915d,Vallejo:71244; RAL:1039F9; Hataka:278; Real Colors:88; AK Old Reference:AK728,
AK11326,RAL 8031 F9 Sandbraun,AFV,#815c34,Vallejo:71246; RAL:8031F9; Hataka:280; Real Colors:92; AK Old Reference:AK727,
AK11327,RAL 8000 Gelbbraun,AFV,#795f38,Vallejo:71272; Lifecolor:UA203; RAL:8000; Hataka:303; Real Colors:63; AK Old Reference:AK702,
AK11328,RAL 8012 Rotbraun,AFV,#5e2318,Vallejo:71271; Lifecolor:UA211; RAL:8012; Hataka:175; Real Colors:67; AK Old Reference:AK717,
AK11329,RAL 8013 Rotbraun,AFV,#461b15,RAL:8013; Real Colors:66; AK Old Reference:AK731,
AK11330,RAL 8017 Rotbraun,AFV,#33241c,Vallejo:71041; Gunze / Mr. Color:H406; Lifecolor:UA205; RAL:8017; Hataka:147; Real Colors:68; AK Old Reference:AK718,
AK11331,RAL 8020 Braun,AFV,#a17a51,Vallejo:71117; Lifecolor:UA201; RAL:8020; Hataka:35; Real Colors:69; AK Old Reference:AKZOO,
AK11333,Cremeweiss,AFV,#e5d8a8,Vallejo:71075; RAL:1001; Federal Standard:23717; Hataka:184; Real Colors:46; AK Old Reference:AK092,
AK11334,Olive Drab Base,AFV,#4e4a2b,Federal Standard:24098; AK Old Reference:AK134,
AK11335,N'1 Light Green (FS34151),AFV,#555624,Vallejo:71137; Federal Standard:34151; Hataka:211; Real Colors:28; AK Old Reference:AK4214,
AK11336,N'5 Earth Brown (FS30099),AFV,#453325,Vallejo:71290; Lifecolor:UA087; Federal Standard:30099; Hataka:256; AK Old Reference:AK4221,
AK11337,N'6 Earth Yellow (FS30257),AFV,#996a36,Vallejo:71291; Federal Standard:30257; Hataka:212; Real Colors:30; AK Old Reference:AK4222,
AK11338,N'8 Earth Red (FS30117),AFV,#5f3724,Vallejo:71293; Federal Standard:30117; AK Old Reference:AK4223,
AK11339,"N""9 Olive Drab (FS33070)",AFV,#363723,Federal Standard:33070; AK Old Reference:AK4211,
AK11340,N913 Desert Sand (FS30279),AFV,#9b7a5b,Vallejo:71140; Gunze / Mr. Color:H346; Lifecolor:UA089; Federal Standard:30279; Hataka:68; AK Old Reference:AK4224,
AK11341,Ocean Gray (FS35164),AFV,#44525f,Federal Standard:35164; AK Old Reference:AK4225,
AK11342,Dark Green (FS34102),AFV,#2f341e,Vallejo:71289; Lifecolor:UA002; Federal Standard:34102; Hataka:21; Real Colors:83; AK Old Reference:AK4231,
AK11343,MERDC Sand (FS30277),AFV,#7b6544,Vallejo:71138; Lifecolor:UA019; Federal Standard:30277; Hataka:187; Real Colors:84; AK Old Reference:AK4233,
AK11344,Field Drab (FS30118),AFV,#4e3a1f,Vallejo:71139; Lifecolor:UA016; Federal Standard:30118; Hataka:209; Real Colors:85; AK Old Reference:AK4234,
AK11345,APC Interior Light Green,AFV,#c3c59d,Federal Standard:24533; Real Colors:78; AK Old Reference:AK4012,
AK11346,Forest Green (FS34079),AFV,#282e1b,Vallejo:71294; Lifecolor:UA001; Federal Standard:34079; Hataka:16; Real Colors:27,
AK11347,Australian Camouflage Brown,AFV,#9e8153,Federal Standard:30219; AK Old Reference:AK4022,
AK11348,Australian Camouflage Green,AFV,#555624,Federal Standard:34088; AK Old Reference:AK4021,
AK11349,CARC Tan 686A (FS33446),AFV,#ac885c,Vallejo:71122; Gunze / Mr. Color:53; Federal Standard:33446; Real Colors:79; AK Old Reference:AK122,
AK11350,Modern Spanish Green,AFV,#484c2b,,
AK11351,Wood Base,AFV,#9a8962,Federal Standard:23564; AK Old Reference:AK779,
AK11352,IDF Modern Grey,AFV,#614f2e,Gunze / Mr. Color:C530; Real Colors:94,
AK11353,IDF Sand Grey 1970s-1980s,AFV,#695a38,Vallejo:71142; Gunze / Mr. Color:C529; Testor:2138; Real Colors:95,
AK11354,IDF Early Sand Yellow,AFV,#867348,Vallejo:71141; Gunze / Mr. Color:C528; Real Colors:96,
AK11355,IDF Green,AFV,#2d2f1e,,
AK11356,SLA Blue,AFV,#3f5553,Federal Standard:34158; AK Old Reference:AK794,
AK11357,LAF Green,AFV,#2a2c21,AK Old Reference:AK795,
AK11358,NATO Green,AFV,#283524,Vallejo:71250; Lifecolor:UA303; RAL:6031F9; Hataka:152; Real Colors:80; AK Old Reference:AK796,
