code,name,hex,equivalents,confidence
MIG-0224,SKY LINE BLUE AIl,#3fafe1,Federal Standard:FS 35260; MODEL COLOR:70.961; MODEL AIR:71.317,0.895024946615834
MIG-0226,GRAY,#cdc9ba,Federal Standard:FS 36622; MR.COLOR:C311; MODEL COLOR:70.883; MODEL AIR:71.296,0.868659702645936
MIG-0227,SEA BLUE,#1b1f25,Federal Standard:FS 25042; MR.COLOR:C14; TAMIYA:XF50; MODEL COLOR:70.898; MODEL AIR:71.005,0.9313813768303291
MIG-0228,INTERMEDIATE BLUE,#4f565e,Federal Standard:FS 35164; RAL:RAL 7031; TAMIYA:XF66; MODEL COLOR:70.903; MODEL AIR:71.299,0.8663839018430063
MIG-0229,DARK GRAY BLUE,#002650,Federal Standard:FS 15102,0.852233831567699
MIG-0230,CAMO GREEN,#39471d,Federal Standard:FS 34095; RAL:RAL 6020; RLM:RLM 82; MR.COLOR:C122; MODEL COLOR:70.823; MODEL AIR:71.022,0.9141218922171743
MIG-0231,HELLBLAU,#c3d8de,Federal Standard:FS 35352; RLM:RLM 65; MR.COLOR:C115; TAMIYA:XF25; MODEL COLOR:70.906; MODEL AIR:71.255,0.8927021811461511
MIG-0232,SCHWARTZGRUN,#4b4d37,Federal Standard:FS 34052; RAL:RAL 7022; RLM:RLM 70; MR.COLOR:C18; TAMIYA:XF27; MODEL COLOR:70.897; MODEL AIR:71.021,0.9048616336408191
MIG-0233,DUNKELGRUN,#2f3522,RLM:RLM 71; MR.COLOR:C17; MODEL AIR:71.015,0.8912640077824654
MIG-0235,DARK GREY AMT-12,#4f5559,Federal Standard:FS 36152; RAL:RAL 7012; MR.COLOR:C32; TAMIYA:XF75; MODEL AIR:71.308,0.8680218291948723
MIG-0236,FS 36293,#717879,HOBBY COLOR:H82; MR.COLOR:C31,0.8598243337552997
MIG-0237,DARK OLIVE DRAB,#595738,Federal Standard:FS 23070; MR.COLOR:C12; TAMIYA:XF62; MODEL AIR:71.016,0.8557264116717185
MIG-0238,MEDIUM GREEN,#334431,Federal Standard:FS 34092; MR.COLOR:C302; TAMIYA:XF26; MODEL COLOR:70.895; MODEL AIR:71.124,0.8083728341002254
MIG-0239,NEUTRAL GRAY,#575c5e,Federal Standard:FS 36122; MR.COLOR:C13; MODEL AIR:71.274,0.857601127969972
MIG-0240,FS 34086 (ANA 613),#242613,Federal Standard:FS 34086; RAL:RAL 7009; MODEL COLOR:70.830; MODEL AIR:71.325,0.8399688910102552
MIG-0241,FS 36440,#93928b,Federal Standard:FS 36440; RAL:RAL 7038; MR.COLOR:C315; MR.COLOR:C325; MODEL COLOR:70.986; MODEL AIR:71.121,0.7485331617193154
MIG-0242,FS 37886,#f1f3df,,0.8329136118612882
MIG-0243,SKY TYPE S,#9eac94,British Standard:BS 210; TAMIYA:XF21; MODEL AIR:71.302,0.8404760131043758
MIG-0244,DUCK EGG GREEN,#95a06e,British Standard:BS 216; MR.COLOR:C26; MODEL AIR:71.009,0.9352971859683431
MIG-0245,OCEAN GREY,#5f656b,British Standard:BS 629; TAMIYA:XF82; MODEL AIR:71.273,0.8056788906949448
MIG-0246,MEDIUM SEA GREY,#888f91,British Standard:BS 637; MR.COLOR:C335; TAMIYA:XF83; MODEL COLOR:70.870; MODEL AIR:71.307,0.924763437768302
MIG-0247,HELLBLAU,#7a8f8f,RLM:RLM 78; MR.COLOR:C118; MODEL COLOR:70.972; MODEL AIR:71.101,0.8983691804931845
MIG-0248,OLIVGRUN,#333d27,Federal Standard:FS 34083; RLM:RLM 80; MR.COLOR:C120; MODEL COLOR:70.894; MODEL AIR:71.265,0.7965294175992109
MIG-0249,LIGHT BLUE,#afcad6,MODEL AIR:71.306; Federal Standard:FS 35550,0.7803487301618899
MIG-0250,NIGHT BLUE GREY,#454b54,MODEL COLOR:70.964,0.8741815638103215
MIG-0251,RUSSIAN BLUE AMT-7,#38676f,MODEL AIR:71.318,0.7555936403249037
MIG-0252,GREY BROWN AMT-1,#736d65,MODEL AIR:71.320,0.9090732888864995
MIG-0253,GRAUGRUN,#3a423a,HOBBY COLOR:H68; MR.COLOR:C36; MODEL COLOR:70.867; MODEL AIR:71.258; RLM:RLM-74,0.8834400853569574
MIG-0254,GRAUVIOLETT,#6e716e,HOBBY COLOR:H69; MR.COLOR:C37; MODEL COLOR:70.869; MODEL AIR:71.259; RLM:RLM-75,0.9106443045157963
MIG-0255,BRAUNVIOLETT,#46342b,HOBBY COLOR:H421; MR.COLOR:C121; MODEL AIR:71.264; RLM:RLM-81,0.7499521337361823
MIG-0256,GRAUBLAU,#b1b078,MODEL AIR:71.103; RLM:RLM-84,0.9268932208399017
MIG-0257,AZURE BLUE,#61769e,MR.COLOR:C370; MODEL COLOR:70.902; MODEL AIR:71.108,0.9471973522157665
MIG-0900,DUNKELGELB SHADOW,#6c5d34,,0.7272282981594806
MIG-0901,DUNKELGELB DARK BASE,#817446,MODEL AIR:71.030,0.9062280939234656
MIG-0902,DUNKELGELB BASE,#9d8d55,HOBBY COLOR:H71; MR.COLOR:C21; MODEL COLOR:70.882,0.8220302426462638
MIG-0903,DUNKELGELB LIGHT BASE,#c6c18b,MODEL COLOR:70.976,0.8428702147141084
MIG-0904,DUNKELGELB HIGH LIGHT,#dcd7be,,0.8485521254820276
MIG-0905,DUNKELGELB SHINE,#292d2e,MODEL COLOR:70.344; MODEL AIR:71.132,0.8780883184609205
MIG-0906,GREY SHADOW,#2b2d37,HOBBY COLOR:H333; MR.COLOR:C333,0.8745041402208195
