code,name,hex,equivalents
HTK-_041,Night Black,#6c696b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 37038""}, {""brand"": ""ANA"", ""code"": ""ANA 604""}, {""brand"": ""Humbrol"", ""code"": ""33""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H12""}, {""brand"": ""Tamiya"", ""code"": ""XF1""}, {""brand"": ""Testors"", ""code"": ""1749""}, {""brand"": ""Vallejo"", ""code"": ""71.057""}, {""brand"": ""Xtracolor"", ""code"": ""X404""}]"
HTK-_042,P.R. Blue,#506b84,"[{""brand"": ""Testors"", ""code"": ""2061""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X008""}]"
HTK-_043,Insignia White,#fefcee,"[{""brand"": ""Federal Standard"", ""code"": ""FS 37875""}, {""brand"": ""ANA"", ""code"": ""ANA 601""}, {""brand"": ""Humbrol"", ""code"": ""34""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H316""}, {""brand"": ""Tamiya"", ""code"": ""XF2""}, {""brand"": ""Testors"", ""code"": ""1768""}, {""brand"": ""Vallejo"", ""code"": ""71.279""}, {""brand"": ""Xtracolor"", ""code"": ""X141""}]"
HTK-_044,Dark Gull Grey,#888b90,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36231""}, {""brand"": ""ANA"", ""code"": ""ANA 621""}, {""brand"": ""Humbrol"", ""code"": ""140""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H317""}, {""brand"": ""Testors"", ""code"": ""1740""}, {""brand"": ""Vallejo"", ""code"": ""71.277""}, {""brand"": ""Xtracolor"", ""code"": ""X131""}]"
HTK-_045,Air Defence Grey,#bcc4c3,"[{""brand"": ""Federal Standard"", ""code"": ""FS 16473""}, {""brand"": ""ANA"", ""code"": ""ANA 512""}, {""brand"": ""Humbrol"", ""code"": ""140""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H317""}, {""brand"": ""Testors"", ""code"": ""1731""}, {""brand"": ""Vallejo"", ""code"": ""71.277""}, {""brand"": ""Xtracolor"", ""code"": ""X138""}]"
HTK-_046,Medium Grey,#88949c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35237""}, {""brand"": ""ANA"", ""code"": ""ANA 620""}, {""brand"": ""Humbrol"", ""code"": ""145""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H337""}, {""brand"": ""Tamiya"", ""code"": ""XF20""}, {""brand"": ""Testors"", ""code"": ""1721""}, {""brand"": ""Vallejo"", ""code"": ""71.114""}, {""brand"": ""Xtracolor"", ""code"": ""X126""}]"
HTK-_047,Soviet Cockpit Blue-Green,#6bc3b8,"[{""brand"": ""Federal Standard"", ""code"": ""FS 16440""}, {""brand"": ""ANA"", ""code"": ""ANA 620""}, {""brand"": ""Humbrol"", ""code"": ""129""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H315""}, {""brand"": ""Tamiya"", ""code"": ""XF20""}, {""brand"": ""Testors"", ""code"": ""2135""}, {""brand"": ""Vallejo"", ""code"": ""71.121""}, {""brand"": ""Xtracolor"", ""code"": ""X629""}]"
HTK-_048,Light Gull Grey,#bbbcae,"[{""brand"": ""Federal Standard"", ""code"": ""FS 16440""}, {""brand"": ""ANA"", ""code"": ""ANA 620""}, {""brand"": ""Humbrol"", ""code"": ""129""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H325""}, {""brand"": ""Tamiya"", ""code"": ""XF20""}, {""brand"": ""Testors"", ""code"": ""1730""}, {""brand"": ""Vallejo"", ""code"": ""71.121""}, {""brand"": ""Xtracolor"", ""code"": ""X137""}, {""brand"": ""Federal Standard"", ""code"": ""FS 36440""}]"
HTK-_049,Insignia White,#f8faf2,"[{""brand"": ""Federal Standard"", ""code"": ""FS 17875""}, {""brand"": ""ANA"", ""code"": ""ANA 511""}, {""brand"": ""Humbrol"", ""code"": ""34""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H316""}, {""brand"": ""Tamiya"", ""code"": ""XF2""}, {""brand"": ""Testors"", ""code"": ""1768""}, {""brand"": ""Vallejo"", ""code"": ""71.279""}, {""brand"": ""Xtracolor"", ""code"": ""X141""}]"
HTK-_050,Light Grey,#d7dcda,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36495""}, {""brand"": ""ANA"", ""code"": ""ANA 511""}, {""brand"": ""Humbrol"", ""code"": ""34""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H338""}, {""brand"": ""Tamiya"", ""code"": ""XF2""}, {""brand"": ""Testors"", ""code"": ""1732""}, {""brand"": ""Vallejo"", ""code"": ""71.276""}, {""brand"": ""Xtracolor"", ""code"": ""X139""}]"
HTK-_051,Camotint Green,#bccba2,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36495""}, {""brand"": ""ANA"", ""code"": ""ANA 511""}, {""brand"": ""Humbrol"", ""code"": ""34""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H338""}, {""brand"": ""Tamiya"", ""code"": ""XF2""}, {""brand"": ""Testors"", ""code"": ""1732""}, {""brand"": ""Vallejo"", ""code"": ""71.276""}, {""brand"": ""Xtracolor"", ""code"": ""X139""}]"
HTK-_052,Green Drab,#656456,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34086""}, {""brand"": ""RLM"", ""code"": ""RLM-80""}, {""brand"": ""Humbrol"", ""code"": ""126""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H420""}, {""brand"": ""Tamiya"", ""code"": ""XF53""}, {""brand"": ""Testors"", ""code"": ""1787""}, {""brand"": ""Vallejo"", ""code"": ""71.292""}, {""brand"": ""Xtracolor"", ""code"": ""X144""}]"
HTK-_053,Olive-Green,#83877e,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36270""}, {""brand"": ""RLM"", ""code"": ""RLM-80""}, {""brand"": ""Humbrol"", ""code"": ""126""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H306""}, {""brand"": ""Tamiya"", ""code"": ""XF53""}, {""brand"": ""Testors"", ""code"": ""2089""}, {""brand"": ""Vallejo"", ""code"": ""71.265""}, {""brand"": ""Xtracolor"", ""code"": ""X215""}]"
HTK-_054,Grey,#909399,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36270""}, {""brand"": ""RLM"", ""code"": ""RLM-80""}, {""brand"": ""Humbrol"", ""code"": ""126""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H306""}, {""brand"": ""Tamiya"", ""code"": ""XF53""}, {""brand"": ""Testors"", ""code"": ""1725""}, {""brand"": ""Vallejo"", ""code"": ""71.275""}, {""brand"": ""Xtracolor"", ""code"": ""X133""}]"
HTK-_055,Royal Blue,#3f3f53,[]
HTK-_056,European I Green,#4b5d50,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34092""}, {""brand"": ""ANA"", ""code"": ""ANA 612""}, {""brand"": ""Humbrol"", ""code"": ""149""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H302""}, {""brand"": ""Tamiya"", ""code"": ""XF26""}, {""brand"": ""Testors"", ""code"": ""1764""}, {""brand"": ""Vallejo"", ""code"": ""71.124""}, {""brand"": ""Xtracolor"", ""code"": ""X114""}]"
HTK-_057,Beige,#e2ddcf,[]
HTK-_058,Have Glass Grey,#85817f,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36170""}, {""brand"": ""Vallejo"", ""code"": ""71.280""}]"
HTK-_059,Field Green,#55614b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34095""}, {""brand"": ""ANA"", ""code"": ""ANA 627""}, {""brand"": ""RAL"", ""code"": ""RAL 6003""}, {""brand"": ""Testors"", ""code"": ""1786""}, {""brand"": ""Vallejo"", ""code"": ""71.022""}, {""brand"": ""Xtracolor"", ""code"": ""X261""}]"
HTK-_060,USMC Sand,#eedfb2,"[{""brand"": ""Federal Standard"", ""code"": ""FS 26081""}, {""brand"": ""ANA"", ""code"": ""ANA 625""}, {""brand"": ""Humbrol"", ""code"": ""32""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H301""}, {""brand"": ""Tamiya"", ""code"": ""XF24""}, {""brand"": ""Testors"", ""code"": ""1788""}, {""brand"": ""Vallejo"", ""code"": ""71.075""}, {""brand"": ""Xtracolor"", ""code"": ""X129""}]"
HTK-_061,Seaplane Grey,#828585,"[{""brand"": ""Federal Standard"", ""code"": ""FS 26081""}, {""brand"": ""ANA"", ""code"": ""ANA 625""}, {""brand"": ""Humbrol"", ""code"": ""32""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H301""}, {""brand"": ""Tamiya"", ""code"": ""XF24""}, {""brand"": ""Testors"", ""code"": ""1788""}, {""brand"": ""Vallejo"", ""code"": ""71.314""}, {""brand"": ""Xtracolor"", ""code"": ""X129""}]"
HTK-_062,International Orange,#ce5038,"[{""brand"": ""Federal Standard"", ""code"": ""FS 12197""}, {""brand"": ""ANA"", ""code"": ""ANA 508""}, {""brand"": ""Testors"", ""code"": ""2022""}, {""brand"": ""Xtracolor"", ""code"": ""X104""}]"
HTK-_063,Vert Foncé,#5f7964,[]
HTK-_064,Khaki Green No. 3 (G3),#76785d,"[{""brand"": ""Vallejo"", ""code"": ""71.330""}]"
HTK-_065,US Army Olive Drab,#89837c,"[{""brand"": ""Humbrol"", ""code"": ""155""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H304""}, {""brand"": ""Testors"", ""code"": ""1711""}, {""brand"": ""Vallejo"", ""code"": ""71.043""}, {""brand"": ""Xtracolor"", ""code"": ""X111""}]"
HTK-_066,Insignia (Orange) Yellow,#f0bf21,"[{""brand"": ""Federal Standard"", ""code"": ""FS 13538""}, {""brand"": ""ANA"", ""code"": ""ANA 506""}, {""brand"": ""Humbrol"", ""code"": ""154""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H329""}, {""brand"": ""Testors"", ""code"": ""1707""}, {""brand"": ""Xtracolor"", ""code"": ""X106""}]"
HTK-_067,US Army Helicopter Drab,#5d5652,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34031""}, {""brand"": ""Testors"", ""code"": ""2024""}, {""brand"": ""Xtracolor"", ""code"": ""X153""}]"
HTK-_068,US Army Desert Sand,#b79e87,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30279""}, {""brand"": ""ANA"", ""code"": ""ANA 616""}, {""brand"": ""Humbrol"", ""code"": ""250""}, {""brand"": ""Vallejo"", ""code"": ""71.140""}, {""brand"": ""Xtracolor"", ""code"": ""X032""}]"
HTK-_069,Woodland Desert Sage,#a8a28b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34201""}, {""brand"": ""Testors"", ""code"": ""1792""}, {""brand"": ""Vallejo"", ""code"": ""71.023""}, {""brand"": ""Xtracolor"", ""code"": ""X119""}]"
HTK-_070,AMT-12 Dark Grey,#5b5e62,"[{""brand"": ""Vallejo"", ""code"": ""71.308""}]"
HTK-_071,AMT-11 Blue-Grey,#87939a,"[{""brand"": ""Vallejo"", ""code"": ""71.304""}]"
HTK-_072,AMT-7 Greyish Blue,#a5c0d9,"[{""brand"": ""Vallejo"", ""code"": ""71.318""}]"
HTK-_073,AMT-4 Camouflage Green,#868a73,"[{""brand"": ""Vallejo"", ""code"": ""71.301""}]"
HTK-_074,A-21m Light Greyish Brown,#b1af9a,"[{""brand"": ""Vallejo"", ""code"": ""71.415""}]"
HTK-_075,Dark Green No. 4 (G4),#656558,"[{""brand"": ""Vallejo"", ""code"": ""71.415""}]"
HTK-_076,S.C.C. No. 2 Khaki Brown,#8a6650,[]
HTK-_077,S.C.C. No. 1A Dark Brown,#7c6f6b,[]
HTK-_078,Aluminium,#c6c9cb,"[{""brand"": ""Humbrol"", ""code"": ""56""}, {""brand"": ""Tamiya"", ""code"": ""XF16""}, {""brand"": ""Testors"", ""code"": ""1781""}, {""brand"": ""Vallejo"", ""code"": ""71.062""}, {""brand"": ""Xtracolor"", ""code"": ""X142""}]"
HTK-_079,Brun Foncé,#665144,"[{""brand"": ""Xtracolor"", ""code"": ""X382""}]"
HTK-_080,Vert,#608e61,"[{""brand"": ""Xtracolor"", ""code"": ""X385""}]"
HTK-_081,Terre de Sienne,#a58c7b,"[{""brand"": ""Xtracolor"", ""code"": ""X387""}]"
HTK-_082,Gris Bleu Foncé,#9ca4ab,"[{""brand"": ""Xtracolor"", ""code"": ""X388""}]"
HTK-_083,Gris Bleu Clair,#b0c7cc,"[{""brand"": ""Xtracolor"", ""code"": ""X389""}]"
HTK-_084,Kaki Français,#928b6d,"[{""brand"": ""Xtracolor"", ""code"": ""X384""}]"
HTK-_085,Polish AFV Khaki Green,#8b8c70,[]
HTK-_086,Polish AFV Green Sand,#c4b281,[]
HTK-_087,Polish AFV Dark Brown,#665145,[]
HTK-_088,Polish AFV Green,#809180,"[{""brand"": ""Vallejo"", ""code"": ""71.248""}]"
HTK-_089,German Camouflage Grey,#a39e94,"[{""brand"": ""Vallejo"", ""code"": ""71.248""}, {""brand"": ""RAL"", ""code"": ""RAL 7050""}]"
HTK-_090,Sand,#d9c2ab,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33531""}, {""brand"": ""Humbrol"", ""code"": ""121""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H313""}, {""brand"": ""Tamiya"", ""code"": ""XF59""}, {""brand"": ""Testors"", ""code"": ""1706""}, {""brand"": ""Vallejo"", ""code"": ""71.327""}, {""brand"": ""Xtracolor"", ""code"": ""X105""}]"
HTK-_091,Pale Green,#7e9a74,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34227""}, {""brand"": ""Humbrol"", ""code"": ""120""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H312""}, {""brand"": ""Testors"", ""code"": ""1716""}, {""brand"": ""Vallejo"", ""code"": ""71.126""}, {""brand"": ""Xtracolor"", ""code"": ""X148""}]"
HTK-_092,Duck Egg Blue,#d9e3d9,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35622""}, {""brand"": ""Humbrol"", ""code"": ""122""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H314""}, {""brand"": ""Testors"", ""code"": ""1722""}, {""brand"": ""Vallejo"", ""code"": ""71.328""}, {""brand"": ""Xtracolor"", ""code"": ""X149""}]"
HTK-_093,Green,#a0a97d,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34258""}, {""brand"": ""Testors"", ""code"": ""2029""}, {""brand"": ""Vallejo"", ""code"": ""71.094""}, {""brand"": ""Xtracolor"", ""code"": ""X120""}]"
HTK-_094,Vert Olive,#8f8a64,[]
HTK-_095,Gris Bleu Clair,#c1d7f0,[]
HTK-_096,Gris Clair Neutre,#e2e4e6,[]
