code,name,hex
70.997,195,#d6d6d5
70.998,Unknown,#d0d0d0
70.999,203,#a99997
71.001,White Blanco,#5b5949
71.002,Amarillo Medio Medium Yellow,#5b5949
71.003,Red RLM23 RLM23 Rot,#e9a140
71.004,Blue Azul Grey Blue,#dcdcdb
71.005,Azul Gris,#29374d
71.006,Light Green Chrom: Verde Claro Cromo,#d4d4d2
71.007,Olive Green Verde Oliva,#4a523c
71.008,Pale Blue Azul Claro,#d6d6d5
71.009,"Verde Huevo Pato Eau de Nil ""D.EG""",#dadad9
71.010,Unknown,#4c4938
71.011,Unknown,#4c4938
71.012,Unknown,#3b3d37
71.013,Unknown,#43453a
71.014,Unknown,#d1d1d0
71.015,Unknown,#dadad9
71.016,Unknown,#cbcbca
71.017,Unknown,#cfcfce
71.018,Unknown,#3f4037
71.019,Camou: Dark Green   Green Brown RAL6OO7 Griin,#3a3d39
71.020,Verde Pardo,#3a3d39
71.021,RLM7O Schwarzgrin   RLM82 Hellgrin Black Green RLMZO,#393b35
71.022,Light Green RLM82   Hemp Tan Green,#d8d9d8
71.023,Unknown,#d9d9d8
71.024,Khaki Brown Marron Caqui,#c9c9c8
71.025,RAL7028 Dunkelgelb   Marron USA Dark Yellow,#dadad9
71.026,USA Flat Brown,#d0d1d0
71.027,Light Brown Marron Claro,#c8c9c8
71.028,Sand Yellow Amarillo Arena Tierra Oscura,#857661
71.029,Dark Earth Marron Verdoso,#c9c9c8
71.030,Brown Green,#d9d9d8
71.031,Piedra Medio Middle Stone,#cccccb
71.032,Golden Brown Marron Dorado,#cbcbca
71.033,Yellow Ochre RAL1OO6 Gelb Sand Brown,#cccdcc
71.034,Marron Arena,#d0d0cf
71.035,Camou: Pale Brown Camuf Pardo Claro Mahogany,#cececd
71.036,Caoba,#4f4439
71.037,Mud Brown Marron Lodo,#cccbca
71.038,Cam Med: Brown Cam: Pardo Medio,#d5d5d4
71.039,Hull Red Marron Rojizo,#5e5850
71.040,Sombra Tostada Burnt Umber,#cdcecd
71.041,Armour Brown RAL8O17 Rotbraun,#c8c8c7
71.042,Dark Brown RLM61 RLM61 Dunkelbraun US Verde Oliva,#4a4846
71.043,US Olive Drab,#c9cac9
71.044,Grey RLMO2 RLMO2 Grau,#423f37
71.045,Cement Gris Cemento Grey,#484d4e
71.046,Azul Gris Claro Pale Blue Grey Grey,#cececd
71.047,Gris,#cccdcc
71.048,Engine Gris Motor Gray,#c8c8c7
71.049,Sea Gris Mar Grey Light Gris Claro,#cacbca
71.050,Gray,#5a5f61
71.051,Gris Neutral Neutral Gray,#dbdbdb
71.052,Anthracite Gris Antracita Grey,#5e6465
71.053,Gris Mar Oscuro Dark Sea Gray Dark Grey Blue,#9a8970
71.054,Gris Azul Oscuro,#484d4e
71.055,RLM66 Schwarzgrau  RAL7O21 Dunkelgrau Negro Black Grey RLM,#866a5d
71.056,Panzer Dark Grey,#cecfce
71.057,Black,#c8c8c7
71.062,Aluminium (Metal) Aluminio (Metal),#c7c8c7
71.063,Silver RLMOI (Met ) RLMO1 Silber (Met ),#dadad9
71.064,Chrome (Metallic) Cromo (Metalizado) Acero (Metalizado),#5d5c63
71.065,Steel (Metallic),#5b5a61
71.066,Gold (Metallic) Oro (Metalizado),#9a8970
71.067,Laton (Metalizado) Bright Brass (Met ),#9c9275
71.068,Unknown,#866a5d
71.069,Rust (Metallic) Oxido (Metalizado),#cccccb
71.070,Signal Red (Metal ) Rojo Senal (Metal),#bc9a9c
71.071,Azul Artico (Metal ) Arctic Blue (Metal:),#b8737a
71.072,Fusil (Metalizado) Gunmetal (Metal) Negro (Metalizado),#43454d
71.073,Black (Metallic) Beige,#5d5c63
71.074,Beige,#5b5a61
71.075,Ivory RALIOO1 Elfenbein,#d0b176
71.076,Skin Tone Color Piel,#bbaa9a
71.077,Wood Madera,#cbcbca
71.078,Yellow RLMO4 RLMO4 Gelb,#dadad9
71.079,Tan Earth Tierra Oxido,#bcab98
71.080,Rust,#d0d0cf
71.081,Ochre Ocre,#8b8380
71.082,Fluorescent Red Rojo Fluorescente,#5d5439
71.083,Orange Naranja,#d5604d
71.084,Fire Red Rojo Fuego,#ca5034
71.085,Ferrari Red Rojo Ferrari,#6c463e
71.086,Rojo Claro Steel Blue,#d9d9d8
71.087,Azul Acero,#d8d8d7
71.088,French Blue Azul Frances,#989fa3
71.089,Light - Azul Mar Claro Sea Blue Deep Sky,#8bb1bf
71.090,Azul Oscuro Signal Blue,#7b8f99
71.091,Azul Senal Ral6003 Olivgriin,#1d2c3b
71.092,Medium Olive,#1e262c
71.093,Verde OTAN NATO Green Green Zinc Chrom:,#c8c9c7
71.094,Verde Zinc,#626661
71.095,Pale Green Verde Palido,#dcdddb
71.096,Verde Oliva Gris. Olive Grey,#5f6e4e
71.097,Gris Medio USAF Med. Gunship Gray,#4a5146
71.101,Light Blue RLM78 RLM78 Hellblau,#6d7f7d
71.102,Rojo Red Grey,#cececd
71.103,RLM84 Graublau Blue RLM,#c8c9c8
71.104,Green RLM62 RLM62 Grin,#474a3b
71.105,Brown RLM26 RLM26 Braun,#c8c9c8
71.106,Ivory RLMOS RLMO5 Elfenbein,#9a8c89
71.107,US Interior Yellow US Amarillo Inter:,#cec4b2
71.108,UK Azure Blue UK Azul Azure,#af8e56
71.109,Faded PRU: Blue M-485 Blue Gray,#cacbca
71.110,Dark Gris Oscuro Gray,#485d61
71.111,USAF Light Blue USAF Azul Claro,#c9cac9
