code,name,hex,equivalents,confidence
ATOM-20125,LIGHT GRAY GREEN,#adc7ae,Ammo by Mig:MIG-0201; Gunze Sangyo:H31; Vallejo Model Color:70885,
ATOM-20126,HELLBLAU RLM 78,#83a3a3,Ammo by Mig:MIG-0247; Gunze Sangyo:H418; Mr. Color:C118; Vallejo Model Color:70972; Vallejo Model Air:71101; RLM:RLM-78,
ATOM-20127,HELLBLAU RLM 65,#c6dfe4,Ammo by Mig:MIG-0231; Gunze Sangyo:H67; Tamiya:XF25; Vallejo Model Color:70906; Vallejo Model Air:71255; RLM:RLM-65,
ATOM-20128,INTERIOR LIGHT GREEN,#8ca58f,Ammo by Mig:MIG-0219; Vallejo Model Color:70331,
ATOM-20129,LIGHT GHOST GRAY,#a7bfc2,Ammo by Mig:MIG-0203; Gunze Sangyo:H308; Mr. Color:C308; Vallejo Model Color:70990,
ATOM-20130,PALE GREY (RLM 76),#adc7c1,Ammo by Mig:MIG-0063; Gunze Sangyo:H417; Mr. Color:C117; Vallejo Model Air:71257; RLM:RLM-76,
ATOM-20131,SEAL GREY,#9da0a0,Ammo by Mig:MIG-0207; Gunze Sangyo:H334; Mr. Color:C334; Vallejo Model Color:70989; Vallejo Model Air:71046,
ATOM-20132,STONE GREY,#b7b7b7,Ammo by Mig:MIG-0075; Tamiya:XF80,
ATOM-20133,DARK GHOST GRAY,#7c807f,Ammo by Mig:MIG-0208; Gunze Sangyo:4307; Mr. Color:C307; Vallejo Model Air:71120,
ATOM-20134,BLUE GRAY,#678591,Ammo by Mig:MIG-0210; Gunze Sangyo:H337; Mr. Color:C337; Vallejo Model Color:70905; Vallejo Model Air:71304,
ATOM-20135,GREY,#8c9296,Ammo by Mig:MIG-0059; Gunze Sangyo:H22; Vallejo Model Air:71050,
ATOM-20136,INTERMEDIATE BLUE,#4f5a6e,Ammo by Mig:MIG-0228; Gunze Sangyo:H56; Tamiya:XF66; Vallejo Model Color:70903; Vallejo Model Air:71299,
