image,raw_reference,reference,name,definition,equivalents,hex,confidence
03 ammo.png,A.MIG-009g,MIG-0099,CRYSTAL BLACK BLUE (AND TAIL LIGHT OFF),,MODEL COLOR:70.938,#8d8b8a,0.8152706936419881
03 ammo.png,A.MIG-0102,MIG-0102,OCHRE BROWN,,MODEL COLOR:70.856,#ebbf2b,0.8471426397304338
03 ammo.png,AMIG-0103,MIG-0103,MEDIUM BLUE,,HOBBY COLOR:H15; MR.COLOR:C65; MODEL COLOR:70.839,#545f61,0.8944438151718564
03 ammo.png,AMIG-0104,MIG-0104,WASHABLE BLACK,,,#010101,0.9987781031677035
03 ammo.png,A.MIG-0105,MIG-0105,WASHABLE DUST,,HOBBY COLOR:RAL 8000,#edc234,0.8728225982112743
03 ammo.png,A.MIG-0106,MIG-0106,WASHABLE SAND,,HOBBY COLOR:RAL 8020,#ebbe29,0.8594621429713374
03 ammo.png,A.MIG-0107,MIG-0107,WASHABLE EARTH,,,#5c472f,0.8412225718317116
03 ammo.png,A.MIG-0108,MIG-0108,WASHABLE MUD,,,#432d21,0.9135881818148004
03 ammo.png,A.MIG-010g,MIG-0109,WASHABLE RUST,,,#934d35,0.7064259965514421
03 ammo.png,AMIG-0110,MIG-0110,(BRITISH BROWN 1941-42),,HOBBY COLOR:SCC 1ARLM 61; MODEL AIR:71.042,#34271f,0.8642437433324729
03 ammo.png,AMIG-0111,MIG-0111,(BRITISH 1941-42 SERVICE DRAB),,HOBBY COLOR:SCC 2; MR.COLOR:C22; TAMIYA:XF72; MODEL COLOR:70.921; MODEL AIR:71.290,#eebc34,0.8853752217853302
03 ammo.png,AMIG-0112,MIG-0112,(BRITISH 1944-45 OLIVE DRAB),,HOBBY COLOR:SCC 15; MODEL COLOR:70.892; MODEL AIR:71.250,#31351a,0.8598696417109728
03 ammo.png,AMIG-0113,MIG-0113,"KHAKI GREEN N""3 (BRITISH 1939-42)",,MODEL COLOR:70.988; MODEL AIR:71.023,#ecc02e,0.7746512463445405
03 ammo.png,A.MIG-0114,MIG-0114,ZIMMERIT OCHRE COLOR,,MODEL AIR:71.246,#ecbf29,0.7696331119278986
03 ammo.png,A.MIG-0115,MIG-0115,LIGHT SKIN TONE,,TAMIYA:XF15; MODEL COLOR:70.837; MODEL AIR:71.076,#eccdac,0.8592625028047671
